Таблица,Вид объекта,Разделы ЦИМ,Класс IFC,Элемент,Код МССК,Раздел таблицы,№,Набор атрибутов,Набор атрибутов (как в источнике),Наименование параметра,Имя параметра IFC,Тип данных,Ед. изм.,Пример,Источник
А.1,Непроизводственного назначения,"Проектная ситуация, Благоустройство и озеленение",IfcSite,Участок застройки,,Материалы АГР,1,RusSet_AGR,RusSet_AGR,Кадастровый номер участка,RUS_LandID,Текстовый,,77:07:00000001-01,Приложение 1
А.1,Непроизводственного назначения,"Проектная ситуация, Благоустройство и озеленение",IfcSite,Участок застройки,,Материалы АГР,2,RusSet_AGR,,Площадь земельного участка,RUS_AreaSquare,Вещественный,м2,"10207,74",Приложение 1
А.2,Непроизводственного назначения,"Проектная ситуация, Покрытия, благоустройство и озеленение",IfcCivilElement,"Газон, твердые покрытия, детская площадка, площадка для отдыха взрослых",ПО ЗУ 17 20 01,Общие данные,1,RusSet_Common,RusSet_Common,Наименование,RUS_Name,Текстовый,-,Газон,Приложение 1
А.2,Непроизводственного назначения,"Проектная ситуация, Покрытия, благоустройство и озеленение",IfcCivilElement,"Газон, твердые покрытия, детская площадка, площадка для отдыха взрослых",ПО ЗУ 17 20 01,Количественные параметры,2,RusSet_Quantities,RusSet_Quantities,Площадь,RUS_Area,Вещественный,м2,4000,Приложение 1
Б.0,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcBuilding,Объект,,Сведения о проекте,1,RusSet_Project,RusSet_Project,Наименование проекта,RUS_ProjectName,Текстовый,-,Жилой дом,Приложение 2
Б.0,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcBuilding,Объект,,Сведения о проекте,2,RusSet_Project,,Адрес,RUS_BuildingAddress,Текстовый,-,"г. Москва, Проспект Мира",Приложение 2
Б.0,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcBuilding,Объект,,Материалы АГР,3,RusSet_AGR,RusSet_AGR,Функциональное назначение объекта,RUS_FNO,Текстовый,-,Жилое здание/Нежилое здание,Приложение 2
Б.1,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcBuildingElementProxy,Вспомогательное 3D-тело,"ЭЛ 30 30 10, ЭЛ 30 30 20",Общие данные,1,RusSet_Common,RusSet_Common,Код элемента МССК,RUS_MSSK_Element_Code,Текстовый,-,ЭЛ 30 30,Приложение 2
Б.1,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcBuildingElementProxy,Вспомогательное 3D-тело,"ЭЛ 30 30 10, ЭЛ 30 30 20",Общие данные,2,RusSet_Common,,Наименование,RUS_Name,Текстовый,-,Объем подземной части здания,Приложение 2
Б.1,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcBuildingElementProxy,Вспомогательное 3D-тело,"ЭЛ 30 30 10, ЭЛ 30 30 20",Общие данные,3,RusSet_Common,,Наименование элемента МССК,RUS_MSSK_Element_Name,Текстовый,-,Подземная часть здания,Приложение 2
Б.1,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcBuildingElementProxy,Вспомогательное 3D-тело,"ЭЛ 30 30 10, ЭЛ 30 30 20",Количественные параметры,4,RusSet_Quantities,RusSet_Quantities,Объем,RUS_Volume,Вещественный,м³,30,Приложение 2
Б.1,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcBuildingElementProxy,Вспомогательное 3D-тело,"ЭЛ 30 30 10, ЭЛ 30 30 20",Количественные параметры,5,RusSet_Quantities,,Высота,RUS_Height,Вещественный,мм,300,Приложение 2
Б.1,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcBuildingElementProxy,Вспомогательное 3D-тело,"ЭЛ 30 30 10, ЭЛ 30 30 20",Количественные параметры,6,RusSet_Quantities,,Ширина,RUS_Width,Вещественный,мм,300,Приложение 2
Б.1,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcBuildingElementProxy,Вспомогательное 3D-тело,"ЭЛ 30 30 10, ЭЛ 30 30 20",Количественные параметры,7,RusSet_Quantities,,Длина,RUS_Length,Вещественный,мм,"12,5",Приложение 2
Б.1,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcBuildingElementProxy,Вспомогательное 3D-тело,"ЭЛ 30 30 10, ЭЛ 30 30 20",Местоположение,8,RusSet_Location,RusSet_Location,Номер объекта (корпуса),RUS_Object,Текстовый,-,К01,Приложение 2
Б.1,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcBuildingElementProxy,Вспомогательное 3D-тело,"ЭЛ 30 30 10, ЭЛ 30 30 20",Местоположение,9,RusSet_Location,,Номер подобъекта (секции),RUS_Object_Sub,Текстовый,-,С01,Приложение 2
Б.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Помещение,"ПЗ 30, ПЗ 30 10, ПЗ 30 20, ПЗ 30 30, ПЗ 31 01, ПЗ 31 02, ПЗ 31 03, ПЗ 31 04, ПЗ 31 05, ПЗ 31 06, ПЗ 31 07, ПЗ 31 08, ПЗ 31 09, ПЗ 31 10, ПЗ 31 12, ПЗ 31 13, ПЗ 31 14, ПЗ 31 15, ПЗ 31 16, ПЗ 31 17, ПЗ 32 10, ПЗ 32 12, ПЗ 32 13, ПЗ 32 14, ПЗ 32 15, ПЗ 32 16, ПЗ 33 10, ПЗ 33 12, ПЗ 33 13, ПЗ 33 14, ПЗ 33 15, ПЗ 33 16, ПЗ 33 17, ПЗ 33 18, ПЗ 33 19, ПЗ 33 20, ПЗ 33 21, ПЗ 33 22, ПЗ 33 23, ПЗ 33 24, ПЗ 33 25, ПЗ 33 26, ПЗ 33 27, ПЗ 33 28, ПЗ 33 29, ПЗ 33 30, ПЗ 33 31, ПЗ 33 32, ПЗ 33 33, ПЗ 34 10, ПЗ 34 12",Общие данные,1,RusSet_Common,RusSet_Common,Код помещения и зоны МССК,RUS_MSSK_SpaceAndZone_Code,Текстовый,-,ПЗ 30 20 07,Приложение 2
Б.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Помещение,"ПЗ 30, ПЗ 30 10, ПЗ 30 20, ПЗ 30 30, ПЗ 31 01, ПЗ 31 02, ПЗ 31 03, ПЗ 31 04, ПЗ 31 05, ПЗ 31 06, ПЗ 31 07, ПЗ 31 08, ПЗ 31 09, ПЗ 31 10, ПЗ 31 12, ПЗ 31 13, ПЗ 31 14, ПЗ 31 15, ПЗ 31 16, ПЗ 31 17, ПЗ 32 10, ПЗ 32 12, ПЗ 32 13, ПЗ 32 14, ПЗ 32 15, ПЗ 32 16, ПЗ 33 10, ПЗ 33 12, ПЗ 33 13, ПЗ 33 14, ПЗ 33 15, ПЗ 33 16, ПЗ 33 17, ПЗ 33 18, ПЗ 33 19, ПЗ 33 20, ПЗ 33 21, ПЗ 33 22, ПЗ 33 23, ПЗ 33 24, ПЗ 33 25, ПЗ 33 26, ПЗ 33 27, ПЗ 33 28, ПЗ 33 29, ПЗ 33 30, ПЗ 33 31, ПЗ 33 32, ПЗ 33 33, ПЗ 34 10, ПЗ 34 12",Общие данные,2,RusSet_Common,,Наименование,RUS_Name,Текстовый,-,Кухня,Приложение 2
Б.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Помещение,"ПЗ 30, ПЗ 30 10, ПЗ 30 20, ПЗ 30 30, ПЗ 31 01, ПЗ 31 02, ПЗ 31 03, ПЗ 31 04, ПЗ 31 05, ПЗ 31 06, ПЗ 31 07, ПЗ 31 08, ПЗ 31 09, ПЗ 31 10, ПЗ 31 12, ПЗ 31 13, ПЗ 31 14, ПЗ 31 15, ПЗ 31 16, ПЗ 31 17, ПЗ 32 10, ПЗ 32 12, ПЗ 32 13, ПЗ 32 14, ПЗ 32 15, ПЗ 32 16, ПЗ 33 10, ПЗ 33 12, ПЗ 33 13, ПЗ 33 14, ПЗ 33 15, ПЗ 33 16, ПЗ 33 17, ПЗ 33 18, ПЗ 33 19, ПЗ 33 20, ПЗ 33 21, ПЗ 33 22, ПЗ 33 23, ПЗ 33 24, ПЗ 33 25, ПЗ 33 26, ПЗ 33 27, ПЗ 33 28, ПЗ 33 29, ПЗ 33 30, ПЗ 33 31, ПЗ 33 32, ПЗ 33 33, ПЗ 34 10, ПЗ 34 12",Общие данные,3,RusSet_Common,,Наименование помещения и зоны МССК,RUS_MSSK_SpaceAndZone_Name,Текстовый,-,Кухня,Приложение 2
Б.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Помещение,"ПЗ 30, ПЗ 30 10, ПЗ 30 20, ПЗ 30 30, ПЗ 31 01, ПЗ 31 02, ПЗ 31 03, ПЗ 31 04, ПЗ 31 05, ПЗ 31 06, ПЗ 31 07, ПЗ 31 08, ПЗ 31 09, ПЗ 31 10, ПЗ 31 12, ПЗ 31 13, ПЗ 31 14, ПЗ 31 15, ПЗ 31 16, ПЗ 31 17, ПЗ 32 10, ПЗ 32 12, ПЗ 32 13, ПЗ 32 14, ПЗ 32 15, ПЗ 32 16, ПЗ 33 10, ПЗ 33 12, ПЗ 33 13, ПЗ 33 14, ПЗ 33 15, ПЗ 33 16, ПЗ 33 17, ПЗ 33 18, ПЗ 33 19, ПЗ 33 20, ПЗ 33 21, ПЗ 33 22, ПЗ 33 23, ПЗ 33 24, ПЗ 33 25, ПЗ 33 26, ПЗ 33 27, ПЗ 33 28, ПЗ 33 29, ПЗ 33 30, ПЗ 33 31, ПЗ 33 32, ПЗ 33 33, ПЗ 34 10, ПЗ 34 12",Количественные параметры,4,RusSet_Quantities,RusSet_Quantities,Высота,RUS_Height,Вещественный,мм,3300,Приложение 2
Б.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Помещение,"ПЗ 30, ПЗ 30 10, ПЗ 30 20, ПЗ 30 30, ПЗ 31 01, ПЗ 31 02, ПЗ 31 03, ПЗ 31 04, ПЗ 31 05, ПЗ 31 06, ПЗ 31 07, ПЗ 31 08, ПЗ 31 09, ПЗ 31 10, ПЗ 31 12, ПЗ 31 13, ПЗ 31 14, ПЗ 31 15, ПЗ 31 16, ПЗ 31 17, ПЗ 32 10, ПЗ 32 12, ПЗ 32 13, ПЗ 32 14, ПЗ 32 15, ПЗ 32 16, ПЗ 33 10, ПЗ 33 12, ПЗ 33 13, ПЗ 33 14, ПЗ 33 15, ПЗ 33 16, ПЗ 33 17, ПЗ 33 18, ПЗ 33 19, ПЗ 33 20, ПЗ 33 21, ПЗ 33 22, ПЗ 33 23, ПЗ 33 24, ПЗ 33 25, ПЗ 33 26, ПЗ 33 27, ПЗ 33 28, ПЗ 33 29, ПЗ 33 30, ПЗ 33 31, ПЗ 33 32, ПЗ 33 33, ПЗ 34 10, ПЗ 34 12",Количественные параметры,5,RusSet_Quantities,,Площадь,RUS_Area,Вещественный,м2,40,Приложение 2
Б.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Помещение,"ПЗ 30, ПЗ 30 10, ПЗ 30 20, ПЗ 30 30, ПЗ 31 01, ПЗ 31 02, ПЗ 31 03, ПЗ 31 04, ПЗ 31 05, ПЗ 31 06, ПЗ 31 07, ПЗ 31 08, ПЗ 31 09, ПЗ 31 10, ПЗ 31 12, ПЗ 31 13, ПЗ 31 14, ПЗ 31 15, ПЗ 31 16, ПЗ 31 17, ПЗ 32 10, ПЗ 32 12, ПЗ 32 13, ПЗ 32 14, ПЗ 32 15, ПЗ 32 16, ПЗ 33 10, ПЗ 33 12, ПЗ 33 13, ПЗ 33 14, ПЗ 33 15, ПЗ 33 16, ПЗ 33 17, ПЗ 33 18, ПЗ 33 19, ПЗ 33 20, ПЗ 33 21, ПЗ 33 22, ПЗ 33 23, ПЗ 33 24, ПЗ 33 25, ПЗ 33 26, ПЗ 33 27, ПЗ 33 28, ПЗ 33 29, ПЗ 33 30, ПЗ 33 31, ПЗ 33 32, ПЗ 33 33, ПЗ 34 10, ПЗ 34 12",Количественные параметры,6,RusSet_Quantities,,Объем,RUS_Volume,Вещественный,м3,60,Приложение 2
Б.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Помещение,"ПЗ 30, ПЗ 30 10, ПЗ 30 20, ПЗ 30 30, ПЗ 31 01, ПЗ 31 02, ПЗ 31 03, ПЗ 31 04, ПЗ 31 05, ПЗ 31 06, ПЗ 31 07, ПЗ 31 08, ПЗ 31 09, ПЗ 31 10, ПЗ 31 12, ПЗ 31 13, ПЗ 31 14, ПЗ 31 15, ПЗ 31 16, ПЗ 31 17, ПЗ 32 10, ПЗ 32 12, ПЗ 32 13, ПЗ 32 14, ПЗ 32 15, ПЗ 32 16, ПЗ 33 10, ПЗ 33 12, ПЗ 33 13, ПЗ 33 14, ПЗ 33 15, ПЗ 33 16, ПЗ 33 17, ПЗ 33 18, ПЗ 33 19, ПЗ 33 20, ПЗ 33 21, ПЗ 33 22, ПЗ 33 23, ПЗ 33 24, ПЗ 33 25, ПЗ 33 26, ПЗ 33 27, ПЗ 33 28, ПЗ 33 29, ПЗ 33 30, ПЗ 33 31, ПЗ 33 32, ПЗ 33 33, ПЗ 34 10, ПЗ 34 12",Местоположение,7,RusSet_Location,RusSet_Location,Номер объекта (корпуса),RUS_Object,Текстовый,-,К01,Приложение 2
Б.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Помещение,"ПЗ 30, ПЗ 30 10, ПЗ 30 20, ПЗ 30 30, ПЗ 31 01, ПЗ 31 02, ПЗ 31 03, ПЗ 31 04, ПЗ 31 05, ПЗ 31 06, ПЗ 31 07, ПЗ 31 08, ПЗ 31 09, ПЗ 31 10, ПЗ 31 12, ПЗ 31 13, ПЗ 31 14, ПЗ 31 15, ПЗ 31 16, ПЗ 31 17, ПЗ 32 10, ПЗ 32 12, ПЗ 32 13, ПЗ 32 14, ПЗ 32 15, ПЗ 32 16, ПЗ 33 10, ПЗ 33 12, ПЗ 33 13, ПЗ 33 14, ПЗ 33 15, ПЗ 33 16, ПЗ 33 17, ПЗ 33 18, ПЗ 33 19, ПЗ 33 20, ПЗ 33 21, ПЗ 33 22, ПЗ 33 23, ПЗ 33 24, ПЗ 33 25, ПЗ 33 26, ПЗ 33 27, ПЗ 33 28, ПЗ 33 29, ПЗ 33 30, ПЗ 33 31, ПЗ 33 32, ПЗ 33 33, ПЗ 34 10, ПЗ 34 12",Местоположение,8,RusSet_Location,,Номер подобъекта (секции),RUS_Object_Sub,Текстовый,-,С01,Приложение 2
Б.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Помещение,"ПЗ 30, ПЗ 30 10, ПЗ 30 20, ПЗ 30 30, ПЗ 31 01, ПЗ 31 02, ПЗ 31 03, ПЗ 31 04, ПЗ 31 05, ПЗ 31 06, ПЗ 31 07, ПЗ 31 08, ПЗ 31 09, ПЗ 31 10, ПЗ 31 12, ПЗ 31 13, ПЗ 31 14, ПЗ 31 15, ПЗ 31 16, ПЗ 31 17, ПЗ 32 10, ПЗ 32 12, ПЗ 32 13, ПЗ 32 14, ПЗ 32 15, ПЗ 32 16, ПЗ 33 10, ПЗ 33 12, ПЗ 33 13, ПЗ 33 14, ПЗ 33 15, ПЗ 33 16, ПЗ 33 17, ПЗ 33 18, ПЗ 33 19, ПЗ 33 20, ПЗ 33 21, ПЗ 33 22, ПЗ 33 23, ПЗ 33 24, ПЗ 33 25, ПЗ 33 26, ПЗ 33 27, ПЗ 33 28, ПЗ 33 29, ПЗ 33 30, ПЗ 33 31, ПЗ 33 32, ПЗ 33 33, ПЗ 34 10, ПЗ 34 12",Идентификация,9,RusSet_Identification,RusSet_Identification,Категория функциональной зоны,RUS_Zone,Текстовый,-,Жилая зона,Приложение 2
Б.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Помещение,"ПЗ 30, ПЗ 30 10, ПЗ 30 20, ПЗ 30 30, ПЗ 31 01, ПЗ 31 02, ПЗ 31 03, ПЗ 31 04, ПЗ 31 05, ПЗ 31 06, ПЗ 31 07, ПЗ 31 08, ПЗ 31 09, ПЗ 31 10, ПЗ 31 12, ПЗ 31 13, ПЗ 31 14, ПЗ 31 15, ПЗ 31 16, ПЗ 31 17, ПЗ 32 10, ПЗ 32 12, ПЗ 32 13, ПЗ 32 14, ПЗ 32 15, ПЗ 32 16, ПЗ 33 10, ПЗ 33 12, ПЗ 33 13, ПЗ 33 14, ПЗ 33 15, ПЗ 33 16, ПЗ 33 17, ПЗ 33 18, ПЗ 33 19, ПЗ 33 20, ПЗ 33 21, ПЗ 33 22, ПЗ 33 23, ПЗ 33 24, ПЗ 33 25, ПЗ 33 26, ПЗ 33 27, ПЗ 33 28, ПЗ 33 29, ПЗ 33 30, ПЗ 33 31, ПЗ 33 32, ПЗ 33 33, ПЗ 34 10, ПЗ 34 12",Идентификация,10,RusSet_Identification,,Группа помещений,RUS_Group_Type,Текстовый,-,Квартира,Приложение 2
Б.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Помещение,"ПЗ 30, ПЗ 30 10, ПЗ 30 20, ПЗ 30 30, ПЗ 31 01, ПЗ 31 02, ПЗ 31 03, ПЗ 31 04, ПЗ 31 05, ПЗ 31 06, ПЗ 31 07, ПЗ 31 08, ПЗ 31 09, ПЗ 31 10, ПЗ 31 12, ПЗ 31 13, ПЗ 31 14, ПЗ 31 15, ПЗ 31 16, ПЗ 31 17, ПЗ 32 10, ПЗ 32 12, ПЗ 32 13, ПЗ 32 14, ПЗ 32 15, ПЗ 32 16, ПЗ 33 10, ПЗ 33 12, ПЗ 33 13, ПЗ 33 14, ПЗ 33 15, ПЗ 33 16, ПЗ 33 17, ПЗ 33 18, ПЗ 33 19, ПЗ 33 20, ПЗ 33 21, ПЗ 33 22, ПЗ 33 23, ПЗ 33 24, ПЗ 33 25, ПЗ 33 26, ПЗ 33 27, ПЗ 33 28, ПЗ 33 29, ПЗ 33 30, ПЗ 33 31, ПЗ 33 32, ПЗ 33 33, ПЗ 34 10, ПЗ 34 12",Идентификация,11,RusSet_Identification,,Номер группы помещений,RUS_Group_Number,Текстовый,-,12,Приложение 2
Б.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Помещение,"ПЗ 30, ПЗ 30 10, ПЗ 30 20, ПЗ 30 30, ПЗ 31 01, ПЗ 31 02, ПЗ 31 03, ПЗ 31 04, ПЗ 31 05, ПЗ 31 06, ПЗ 31 07, ПЗ 31 08, ПЗ 31 09, ПЗ 31 10, ПЗ 31 12, ПЗ 31 13, ПЗ 31 14, ПЗ 31 15, ПЗ 31 16, ПЗ 31 17, ПЗ 32 10, ПЗ 32 12, ПЗ 32 13, ПЗ 32 14, ПЗ 32 15, ПЗ 32 16, ПЗ 33 10, ПЗ 33 12, ПЗ 33 13, ПЗ 33 14, ПЗ 33 15, ПЗ 33 16, ПЗ 33 17, ПЗ 33 18, ПЗ 33 19, ПЗ 33 20, ПЗ 33 21, ПЗ 33 22, ПЗ 33 23, ПЗ 33 24, ПЗ 33 25, ПЗ 33 26, ПЗ 33 27, ПЗ 33 28, ПЗ 33 29, ПЗ 33 30, ПЗ 33 31, ПЗ 33 32, ПЗ 33 33, ПЗ 34 10, ПЗ 34 12",Идентификация,12,RusSet_Identification,,Номер помещения,RUS_Number,Текстовый,-,1,Приложение 2
Б.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Помещение,"ПЗ 30, ПЗ 30 10, ПЗ 30 20, ПЗ 30 30, ПЗ 31 01, ПЗ 31 02, ПЗ 31 03, ПЗ 31 04, ПЗ 31 05, ПЗ 31 06, ПЗ 31 07, ПЗ 31 08, ПЗ 31 09, ПЗ 31 10, ПЗ 31 12, ПЗ 31 13, ПЗ 31 14, ПЗ 31 15, ПЗ 31 16, ПЗ 31 17, ПЗ 32 10, ПЗ 32 12, ПЗ 32 13, ПЗ 32 14, ПЗ 32 15, ПЗ 32 16, ПЗ 33 10, ПЗ 33 12, ПЗ 33 13, ПЗ 33 14, ПЗ 33 15, ПЗ 33 16, ПЗ 33 17, ПЗ 33 18, ПЗ 33 19, ПЗ 33 20, ПЗ 33 21, ПЗ 33 22, ПЗ 33 23, ПЗ 33 24, ПЗ 33 25, ПЗ 33 26, ПЗ 33 27, ПЗ 33 28, ПЗ 33 29, ПЗ 33 30, ПЗ 33 31, ПЗ 33 32, ПЗ 33 33, ПЗ 34 10, ПЗ 34 12",Материалы АГР,14,RusSet_AGR,RusSet_AGR,Подземный этаж,RUS_BasementFloor,Булевый,-,да/нет,Приложение 2
Б.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Помещение,"ПЗ 30, ПЗ 30 10, ПЗ 30 20, ПЗ 30 30, ПЗ 31 01, ПЗ 31 02, ПЗ 31 03, ПЗ 31 04, ПЗ 31 05, ПЗ 31 06, ПЗ 31 07, ПЗ 31 08, ПЗ 31 09, ПЗ 31 10, ПЗ 31 12, ПЗ 31 13, ПЗ 31 14, ПЗ 31 15, ПЗ 31 16, ПЗ 31 17, ПЗ 32 10, ПЗ 32 12, ПЗ 32 13, ПЗ 32 14, ПЗ 32 15, ПЗ 32 16, ПЗ 33 10, ПЗ 33 12, ПЗ 33 13, ПЗ 33 14, ПЗ 33 15, ПЗ 33 16, ПЗ 33 17, ПЗ 33 18, ПЗ 33 19, ПЗ 33 20, ПЗ 33 21, ПЗ 33 22, ПЗ 33 23, ПЗ 33 24, ПЗ 33 25, ПЗ 33 26, ПЗ 33 27, ПЗ 33 28, ПЗ 33 29, ПЗ 33 30, ПЗ 33 31, ПЗ 33 32, ПЗ 33 33, ПЗ 34 10, ПЗ 34 12",Материалы АГР,15,RusSet_AGR,,Плавающая высотная отметка уровня,RUS_GroundFloor,Булевый,-,да/нет,Приложение 2
Б.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Помещение,"ПЗ 30, ПЗ 30 10, ПЗ 30 20, ПЗ 30 30, ПЗ 31 01, ПЗ 31 02, ПЗ 31 03, ПЗ 31 04, ПЗ 31 05, ПЗ 31 06, ПЗ 31 07, ПЗ 31 08, ПЗ 31 09, ПЗ 31 10, ПЗ 31 12, ПЗ 31 13, ПЗ 31 14, ПЗ 31 15, ПЗ 31 16, ПЗ 31 17, ПЗ 32 10, ПЗ 32 12, ПЗ 32 13, ПЗ 32 14, ПЗ 32 15, ПЗ 32 16, ПЗ 33 10, ПЗ 33 12, ПЗ 33 13, ПЗ 33 14, ПЗ 33 15, ПЗ 33 16, ПЗ 33 17, ПЗ 33 18, ПЗ 33 19, ПЗ 33 20, ПЗ 33 21, ПЗ 33 22, ПЗ 33 23, ПЗ 33 24, ПЗ 33 25, ПЗ 33 26, ПЗ 33 27, ПЗ 33 28, ПЗ 33 29, ПЗ 33 30, ПЗ 33 31, ПЗ 33 32, ПЗ 33 33, ПЗ 34 10, ПЗ 34 12",Материалы АГР,16,RusSet_AGR,,Студия (тип квартиры),RUS_StudioApart,Булевый,-,да/нет,Приложение 2
Б.3.1,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Зона (СПП в ГНС),,Общие данные,1,RusSet_Common,RusSet_Common,Код помещения и зоны МССК,RUS_MSSK_SpaceAndZone_Code,Текстовый,-,-,Приложение 2
Б.3.1,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Зона (СПП в ГНС),,Общие данные,2,RusSet_Common,,Наименование,RUS_Name,Текстовый,-,СПП в ГНС,Приложение 2
Б.3.1,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Зона (СПП в ГНС),,Общие данные,3,RusSet_Common,,Наименование помещения и зоны МССК,RUS_MSSK_SpaceAndZone_Name,Текстовый,-,-,Приложение 2
Б.3.1,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Зона (СПП в ГНС),,Количественные параметры,4,RusSet_Quantities,RusSet_Quantities,Высота,RUS_Height,Вещественный,мм,3300,Приложение 2
